vendor_id,vendor_performance_variability,shipping_route,warehouse_location,transportation_mode,political_instability_index,weather_condition_severity,disruption_occurred
V101,0.25,Asia-Europe,Shanghai,Road,2.26,8.31,0
V102,6.46,Asia-Europe,Singapore,Air,9.05,0.4,1
V106,6.37,US-Asia,Dubai,Road,4.75,2.36,1
V105,3.41,Europe-US,Berlin,Air,2.24,3.74,0
V106,0.72,Africa-Europe,Singapore,Air,8.53,1.83,0
V102,4.1,MiddleEast-Asia,Dubai,Sea,2.54,0.73,0
V102,3.11,MiddleEast-Asia,Singapore,Sea,3.07,2.25,0
V106,6.77,MiddleEast-Asia,Shanghai,Sea,8.34,5.34,1
V101,6.06,Asia-Europe,Berlin,Rail,3.09,6.96,1
V104,3.65,MiddleEast-Asia,Berlin,Rail,4.1,7.74,1
V102,2.18,Africa-Europe,Dubai,Road,3.48,0.43,0
V106,9.88,Africa-Europe,Singapore,Sea,1.16,4.28,1
V106,4.54,US-Asia,Shanghai,Rail,0.39,1.22,0
V103,6.88,Asia-Europe,Mumbai,Sea,7.25,4.31,1
V104,1.41,Africa-Europe,Berlin,Rail,6.45,4.34,0
V105,4.86,Europe-US,Mumbai,Rail,2.82,4.98,1
V101,0.28,Asia-Europe,Shanghai,Air,2.96,8.93,0
V105,5.05,Asia-Europe,Berlin,Sea,9.45,8.05,1
V104,9.64,Africa-Europe,Berlin,Sea,9.88,6.37,1
V104,3.84,Europe-US,Singapore,Rail,4.73,8.85,1
V104,0.39,US-Asia,Mumbai,Sea,8.02,6.78,1
V105,0.31,Africa-Europe,Singapore,Rail,7.37,8.19,1
V104,3.88,Europe-US,New York,Sea,2.97,5.64,0
V106,1.6,Asia-Europe,Mumbai,Air,0.59,5.25,0
V105,0.23,Europe-US,Mumbai,Sea,1.43,7.24,0
V104,7.56,Asia-Europe,New York,Air,8.38,0.2,1
V106,4.59,Africa-Europe,Shanghai,Road,7.31,6.9,1
V103,2.89,Africa-Europe,Shanghai,Sea,6.64,9.35,1
V104,9,MiddleEast-Asia,Berlin,Sea,1.31,7.14,1
V105,1.16,MiddleEast-Asia,Dubai,Sea,6.4,0.37,0
V102,9.56,MiddleEast-Asia,Singapore,Air,7.72,3.78,1
V104,3.14,Africa-Europe,Dubai,Sea,8.61,8.1,1
V102,8.88,US-Asia,Berlin,Sea,0.13,9.59,1
V106,6.03,Africa-Europe,Dubai,Rail,6.84,3.7,1
V103,8.27,Europe-US,Mumbai,Road,0.19,8.41,1
V101,9.84,Africa-Europe,Mumbai,Air,7.07,8.64,1
V103,2.88,Africa-Europe,New York,Rail,6.36,1.23,0
V104,9.61,Asia-Europe,New York,Air,1.48,8.46,1
V102,3.89,Asia-Europe,Berlin,Rail,7.66,3.24,1
V102,3.86,Asia-Europe,Berlin,Road,0.68,5.93,0
V105,3.4,Africa-Europe,Berlin,Rail,8.26,5.39,1
V102,5.41,US-Asia,Mumbai,Air,2.62,6.63,1
V105,1.54,Europe-US,Dubai,Sea,6.89,7.4,1
V106,5.54,Europe-US,Singapore,Sea,9.24,4.41,1
V101,5.42,US-Asia,Berlin,Road,3.4,8.88,1
V104,7.62,US-Asia,Berlin,Air,5.03,8.09,1
V105,8.34,Europe-US,Mumbai,Air,4.63,7.85,1
V101,4.4,MiddleEast-Asia,Singapore,Air,1.58,4.58,0
V102,3.02,Asia-Europe,Mumbai,Road,5.9,0.38,0
V102,2.59,Asia-Europe,Singapore,Sea,7.43,4.92,1
V101,1.95,Europe-US,Mumbai,Rail,9.17,8.98,1
V102,0.58,US-Asia,Dubai,Road,8.51,1.9,0
V106,3.42,MiddleEast-Asia,Berlin,Rail,5.1,9.83,1
V106,2.7,Europe-US,Shanghai,Sea,7.19,8.08,1
V101,9.66,Asia-Europe,Shanghai,Road,8.01,7.1,1
V105,5.58,Africa-Europe,Berlin,Sea,4.93,6.77,1
V105,3.47,US-Asia,Berlin,Rail,1.15,5.87,0
V101,5.8,Africa-Europe,Berlin,Air,4.38,7.21,1
V105,1.39,Europe-US,Berlin,Air,8.42,4.22,1
V105,4.44,Asia-Europe,Singapore,Rail,5.97,8.45,1
V106,6.26,MiddleEast-Asia,Dubai,Air,7.24,6.96,1
V105,4.89,Africa-Europe,Shanghai,Rail,1.85,7.71,1
V103,4.02,MiddleEast-Asia,New York,Road,9.64,7.92,1
V104,9.94,Asia-Europe,Shanghai,Road,4.04,0.92,1
V102,8.8,Africa-Europe,Shanghai,Road,6.54,0.56,1
V103,6.23,MiddleEast-Asia,Mumbai,Air,0.19,8.01,1
V105,5.69,MiddleEast-Asia,Berlin,Sea,1.27,2.59,0
V106,6.21,Africa-Europe,Berlin,Air,7.82,5.82,1
V101,2.01,Asia-Europe,Berlin,Air,9.68,4.44,1
V105,3.95,MiddleEast-Asia,Mumbai,Sea,3.2,0.22,0
V106,0.39,Europe-US,Dubai,Sea,0.37,0.4,0
V104,4.76,Africa-Europe,Dubai,Sea,3.61,8.27,1
V105,5.43,US-Asia,New York,Sea,0.17,6.08,0
V101,2.28,US-Asia,Dubai,Air,1.92,5.24,0
V106,9.64,Asia-Europe,Dubai,Rail,7.52,9.44,1
V106,9.09,Europe-US,Berlin,Road,9.37,1.73,1
V106,7.22,MiddleEast-Asia,Singapore,Rail,0.87,2.58,0
V104,5.33,US-Asia,Shanghai,Air,5.58,7.57,1
V105,8.7,Asia-Europe,Dubai,Sea,2.54,7.75,1
V104,1.31,Europe-US,Dubai,Road,1.39,4.05,0
V102,7.91,Europe-US,Mumbai,Road,2.19,9.51,1
V102,1.25,Asia-Europe,New York,Rail,5.78,9.38,1
V105,7.94,Asia-Europe,Singapore,Air,0.65,0.12,0
V104,2.76,MiddleEast-Asia,Mumbai,Air,4.34,1.72,0
V101,8.77,Asia-Europe,Berlin,Air,1.35,8.2,1
V106,9.44,MiddleEast-Asia,Shanghai,Road,2.73,3.35,1
V106,1.49,MiddleEast-Asia,New York,Rail,1.91,0.95,0
V105,4.63,Africa-Europe,Mumbai,Road,8.83,7.85,1
V102,9.81,Europe-US,Dubai,Road,7.08,4.55,1
V102,4.83,Europe-US,Dubai,Sea,8.68,4.92,1
V106,8.64,Europe-US,New York,Rail,3.83,1.86,1
V105,5.89,Africa-Europe,Dubai,Sea,3.13,6.61,1
V104,3.75,MiddleEast-Asia,Mumbai,Air,3.81,5.51,1
V102,2.86,MiddleEast-Asia,Mumbai,Road,0.19,2.07,0
V104,2.03,Asia-Europe,Dubai,Rail,7.25,3.4,1
V102,7.62,Africa-Europe,Dubai,Air,3.5,5.97,1
V102,3.87,Asia-Europe,Berlin,Rail,3.13,9.25,1
V103,5.11,Africa-Europe,Shanghai,Road,5.98,9.2,1
V102,4.92,Asia-Europe,New York,Rail,4.36,2.88,0
V101,5.77,US-Asia,Mumbai,Air,9.81,7.36,1
V105,8.66,Europe-US,New York,Sea,3.56,7.76,1
V105,9.81,Europe-US,Berlin,Road,6.14,8.09,1
V104,4.08,MiddleEast-Asia,Mumbai,Sea,3.12,5.71,1
V102,8.28,US-Asia,Berlin,Road,9.91,0.11,1
V101,7.65,Europe-US,Berlin,Air,4.45,7.62,1
V104,5.74,MiddleEast-Asia,Singapore,Road,6.34,1.07,1
V103,9.56,US-Asia,Dubai,Sea,1.27,1.17,0
V104,2,Europe-US,Singapore,Road,7.33,6.06,1
V104,1.09,Asia-Europe,New York,Air,2.69,9.84,1
V102,8.54,Africa-Europe,New York,Road,4.49,2.43,1
V103,4.39,US-Asia,Dubai,Sea,8.83,6.46,1
V104,8.47,MiddleEast-Asia,Singapore,Air,9.71,3.04,1
V101,8.93,US-Asia,New York,Sea,4.25,8.99,1
V101,0.62,MiddleEast-Asia,Singapore,Road,8.35,5.94,1
V105,8.83,US-Asia,Dubai,Rail,0.53,2.07,0
V103,4.48,MiddleEast-Asia,Mumbai,Sea,8.48,2.62,1
V103,5.1,Europe-US,Berlin,Road,6.3,4.32,1
V105,6.27,Asia-Europe,Berlin,Rail,4.89,1.22,0
V104,9.26,Europe-US,Singapore,Rail,8.9,0.79,1
V103,0.19,Asia-Europe,New York,Air,8.45,6.8,1
V101,4.77,Europe-US,Singapore,Rail,2.97,4.07,0
V101,6.88,Europe-US,Singapore,Sea,7.91,7.26,1
V102,7.23,US-Asia,Shanghai,Sea,0.99,1.1,0
V103,6.93,Africa-Europe,Berlin,Rail,8.23,6.1,1
V104,1.34,MiddleEast-Asia,Dubai,Road,6.75,4.43,1
V105,2.99,MiddleEast-Asia,Singapore,Sea,0.88,0.58,0
V105,3.59,MiddleEast-Asia,Shanghai,Sea,6.83,5.45,1
V104,8.04,Asia-Europe,Shanghai,Air,5.81,0.83,1
V106,2.79,MiddleEast-Asia,Berlin,Road,5.95,8.28,1
V102,2.11,MiddleEast-Asia,Berlin,Rail,2.91,6.32,0
V105,9.57,US-Asia,Berlin,Road,2.66,5.57,1
V103,0.09,Europe-US,Dubai,Air,7.63,1.33,0
V102,9.98,MiddleEast-Asia,Shanghai,Air,2.57,2.87,1
V103,6.77,Africa-Europe,New York,Road,4.46,4.93,1
V101,8.28,MiddleEast-Asia,Dubai,Air,6.95,6.33,1
V102,2.95,Asia-Europe,Mumbai,Air,0.8,1.83,0
V105,0.14,Asia-Europe,Singapore,Air,5.95,0.09,0
V102,7.38,Asia-Europe,Berlin,Road,5.89,3.45,1
V102,8.34,MiddleEast-Asia,Shanghai,Air,6.84,4.83,1
V102,7.4,US-Asia,Singapore,Rail,3.7,1.84,1
V106,1.43,Africa-Europe,Dubai,Rail,4.49,4.92,0
V102,7.53,MiddleEast-Asia,Mumbai,Sea,3.3,3.38,1
V103,7.69,US-Asia,Dubai,Rail,8.08,4.55,1
V101,6.59,US-Asia,Dubai,Sea,1.31,3.47,0
V104,7.66,MiddleEast-Asia,New York,Road,9.63,6.28,1
V102,8.46,MiddleEast-Asia,Singapore,Air,6.35,0.43,1
V105,6.14,US-Asia,New York,Rail,8.87,1.71,1
V102,0.89,US-Asia,Dubai,Sea,4.26,4.33,0
V105,4.88,US-Asia,Mumbai,Road,3.32,3.56,0
V103,0.78,MiddleEast-Asia,Shanghai,Sea,9.01,3.92,1
V105,4.08,US-Asia,Shanghai,Air,0.99,8.04,1
V104,4.07,Asia-Europe,Singapore,Rail,1.17,8.86,1
V101,0.66,MiddleEast-Asia,Berlin,Road,2.99,2.49,0
V105,3.49,Asia-Europe,Berlin,Sea,9.6,8.36,1
V105,1.11,Europe-US,Shanghai,Road,6.33,4.59,0
V101,8.08,MiddleEast-Asia,Dubai,Sea,5.54,2.74,1
V104,9.48,Europe-US,Dubai,Sea,7.05,9.85,1
V102,0.72,US-Asia,New York,Air,4.17,8.25,1
V105,9.55,US-Asia,Singapore,Air,7.58,9.94,1
V101,5.23,Africa-Europe,New York,Sea,3.93,1.68,0
V103,3,US-Asia,Berlin,Rail,8.26,1.44,1
V101,0.77,Europe-US,Shanghai,Road,2.67,5.03,0
V103,5.01,US-Asia,Dubai,Road,2.78,6.39,1
V104,7.95,MiddleEast-Asia,Shanghai,Air,5.22,1.71,1
V102,7.07,US-Asia,Mumbai,Rail,4.31,8.6,1
V101,0.5,Africa-Europe,Shanghai,Sea,6.48,5.32,0
V106,0.73,US-Asia,Mumbai,Air,3.64,4.11,0
V105,4.03,Europe-US,New York,Sea,2.31,6.02,0
V104,2.95,Europe-US,New York,Sea,4.7,6.35,1
V101,2.32,US-Asia,Berlin,Air,5.61,0.43,0
V105,2.81,Europe-US,Shanghai,Rail,1.43,10,1
V101,8.03,Europe-US,Shanghai,Road,5.57,3.64,1
V103,9.29,Africa-Europe,Mumbai,Air,3.19,0.62,1
V101,4.05,MiddleEast-Asia,New York,Rail,3.92,8.52,1
V106,9.06,Africa-Europe,Mumbai,Sea,2.79,9.93,1
V101,3.21,Asia-Europe,New York,Air,9.31,8.16,1
V101,4.76,Africa-Europe,Mumbai,Road,6.83,8.52,1
V106,2.26,US-Asia,New York,Road,2.62,6.26,0
V104,6.4,MiddleEast-Asia,Mumbai,Sea,6.45,9.22,1
V101,9.79,US-Asia,New York,Air,8.49,0.36,1
V106,6.03,Asia-Europe,Singapore,Road,4.02,7.67,1
V105,3.58,MiddleEast-Asia,Mumbai,Air,8.3,6.71,1
V103,6.48,Europe-US,Shanghai,Road,1.54,0.5,0
V103,1.23,Africa-Europe,Berlin,Sea,8.23,5.44,1
V101,8.89,US-Asia,Singapore,Sea,5.4,5.15,1
V104,5.03,Asia-Europe,Singapore,Air,2.23,6.92,1
V104,4.49,Europe-US,Mumbai,Rail,4.07,0.78,0
V105,5.86,Africa-Europe,Berlin,Rail,9.88,8.05,1
V101,6.25,Europe-US,Shanghai,Sea,7.84,1.39,1
V103,0.72,Africa-Europe,Singapore,Road,5.75,4.19,0
V104,6.83,MiddleEast-Asia,Shanghai,Rail,1.15,8.81,1
V101,2.42,Europe-US,New York,Sea,4.18,5.61,0
V104,7.14,Europe-US,Berlin,Road,2.63,3.8,1
V106,8.23,Europe-US,Dubai,Road,0.71,0.48,0
V104,8.04,MiddleEast-Asia,New York,Rail,5.42,6.72,1
V103,5.53,Asia-Europe,Berlin,Sea,8.89,9.87,1
V102,5.2,Africa-Europe,Mumbai,Road,6.76,9.12,1
V105,1.43,Europe-US,Mumbai,Road,2.5,7.17,0
V105,7.75,MiddleEast-Asia,Shanghai,Air,5.74,1.05,1
V103,2.71,Asia-Europe,Singapore,Air,9.43,2.39,1
V104,4.97,Africa-Europe,Dubai,Rail,7.23,1.87,1
V101,2.84,MiddleEast-Asia,Mumbai,Air,6.89,3.55,1
V104,1.34,Africa-Europe,Berlin,Sea,9.68,2.36,1
V103,6.3,Europe-US,Singapore,Rail,7.99,2.44,1
V105,0.54,Asia-Europe,Singapore,Rail,1.37,6.17,0
V104,7.49,MiddleEast-Asia,Berlin,Air,3.48,3.19,1
V105,3.18,Asia-Europe,Singapore,Road,9.65,6.77,1
V101,0,Europe-US,Mumbai,Sea,4.9,9.48,1
V105,5.11,Asia-Europe,Berlin,Sea,1.12,6.38,1
V105,0.47,Asia-Europe,Berlin,Sea,4.59,7.52,1
V102,2.76,US-Asia,Shanghai,Rail,6.97,7.52,1
V102,7.07,Asia-Europe,Dubai,Sea,9.98,3.31,1
V106,0.63,Africa-Europe,Shanghai,Road,3.24,0.15,0
V102,8.39,MiddleEast-Asia,Dubai,Road,5.14,0.55,1
V105,0.04,US-Asia,Berlin,Air,8.8,2.82,0
V103,2.47,MiddleEast-Asia,Singapore,Sea,3.55,6.9,1
V105,7.41,MiddleEast-Asia,Dubai,Rail,1.09,9.07,1
V103,3.16,Europe-US,Berlin,Air,9.49,9.59,1
V103,1.02,Europe-US,Berlin,Road,4.88,0.26,0
V102,3.6,US-Asia,Shanghai,Sea,5.03,9.9,1
V104,2.7,Europe-US,Shanghai,Road,6.21,3.22,0
V101,8.43,Europe-US,Singapore,Air,0.04,8.43,1
V102,3.13,Europe-US,New York,Road,9.31,1.8,1
V102,7.89,MiddleEast-Asia,Mumbai,Sea,3.61,0.63,0
V104,8.92,US-Asia,New York,Sea,3.97,3.78,1
V101,4.34,MiddleEast-Asia,New York,Air,1.74,8.59,1
V105,9.1,Africa-Europe,Singapore,Sea,3.78,2.21,1
V106,3.77,MiddleEast-Asia,Dubai,Road,8.04,1.54,1
V106,9.64,Africa-Europe,Singapore,Road,8,9.1,1
V105,0.89,Asia-Europe,Singapore,Rail,9.36,9.38,1
V102,6.87,Asia-Europe,Berlin,Rail,4.03,0.13,0
V101,4.94,Africa-Europe,Berlin,Rail,7.09,7.27,1
V102,3.88,Africa-Europe,Berlin,Road,5.07,3.09,0
V103,6.33,MiddleEast-Asia,Mumbai,Road,8.04,3.75,1
V102,7.04,Africa-Europe,Dubai,Air,7.13,4.69,1
V102,0.04,US-Asia,Dubai,Rail,3.68,4.27,0
V105,1.67,Asia-Europe,Berlin,Road,3.37,5.15,0
V105,7.13,Asia-Europe,New York,Air,2.52,5.82,1
V105,6.66,Africa-Europe,Mumbai,Road,5.77,4.66,1
V106,9.66,Europe-US,New York,Air,9.64,7.02,1
V103,7.61,Europe-US,Shanghai,Rail,2,7.19,1
V105,9.51,Africa-Europe,Dubai,Rail,0.95,4.4,1
V101,7.03,US-Asia,Dubai,Rail,1.19,1.42,0
V106,2.98,Europe-US,New York,Road,7.83,6.41,1
V104,1.05,Africa-Europe,Mumbai,Road,3.5,7.73,0
V101,7.82,US-Asia,Dubai,Air,2.24,6.38,1
V101,6.44,US-Asia,New York,Sea,3.53,5.88,1
V105,0.48,MiddleEast-Asia,Singapore,Sea,6.45,2.29,0
V104,3.6,US-Asia,Singapore,Rail,5.47,6.45,1
V104,9.57,Europe-US,Mumbai,Sea,7.44,3.35,1
V106,5,Europe-US,New York,Rail,3.39,9.2,1
V104,4.33,Africa-Europe,Singapore,Air,4.52,6.54,1
V103,4.58,Africa-Europe,Mumbai,Sea,1.02,2.78,0
V105,2.09,US-Asia,Berlin,Sea,0.73,4.73,0
V104,3.69,Asia-Europe,Mumbai,Rail,4.62,8.47,1
V106,3.7,MiddleEast-Asia,Shanghai,Air,3.02,3.35,0
V103,0.52,Asia-Europe,Berlin,Sea,6.13,5.25,0
V102,7.68,US-Asia,New York,Sea,0.43,6.8,1
V102,4.17,US-Asia,Berlin,Sea,1.22,7.55,1
V103,8.22,Asia-Europe,Berlin,Air,8.65,1.74,1
V106,8.5,MiddleEast-Asia,New York,Air,5.66,5.65,1
V103,2.12,Asia-Europe,New York,Sea,7.12,9.12,1
V105,6.57,Africa-Europe,Singapore,Rail,8.42,9.68,1
V105,4.72,Europe-US,Shanghai,Rail,4.64,6.56,1
V102,8.8,Africa-Europe,New York,Sea,7.61,9.84,1
V104,2.16,Europe-US,Dubai,Air,5.25,5.71,1
V106,6.78,US-Asia,Dubai,Sea,2.23,4.43,1
V102,6.08,MiddleEast-Asia,Shanghai,Air,3.38,5.52,1
V104,2.95,Asia-Europe,Mumbai,Sea,4.9,1.16,0
V104,1.37,MiddleEast-Asia,Mumbai,Air,3.17,4.02,0
V105,6.52,Asia-Europe,Dubai,Road,3.36,4.58,1
V101,7.39,Africa-Europe,New York,Rail,3.37,8.49,1
V101,3.16,Africa-Europe,Shanghai,Road,1.23,7.59,0
V103,6.45,Asia-Europe,Mumbai,Rail,0.85,6.01,1
V105,3.95,MiddleEast-Asia,Mumbai,Air,0.46,3.47,0
V104,7.13,Asia-Europe,Berlin,Road,1.11,1.87,0
V106,1.99,US-Asia,Dubai,Rail,3.44,3.48,0
V101,8.9,Africa-Europe,New York,Sea,5.94,6.8,1
V104,2.87,US-Asia,Shanghai,Air,1.88,2.63,0
V101,3.68,Africa-Europe,Mumbai,Air,8.88,4.27,1
V101,0.58,Africa-Europe,Berlin,Sea,8.08,3.87,1
V101,1.12,Europe-US,Dubai,Sea,5.21,7.66,1
V106,5.16,US-Asia,Dubai,Rail,7.24,8.84,1
V105,2.68,US-Asia,Shanghai,Air,3.66,6.99,1
V106,8.35,Europe-US,Mumbai,Rail,0.37,3.42,0
V102,0.15,MiddleEast-Asia,Shanghai,Sea,9.04,4.33,1
V104,3.79,US-Asia,Shanghai,Air,1.28,1.43,0
V105,3.37,Asia-Europe,Singapore,Sea,9.48,1.68,1
V105,0.19,Europe-US,Berlin,Rail,5.72,1.64,0
V105,1.24,US-Asia,Dubai,Rail,3.06,1.31,0
V105,4.14,MiddleEast-Asia,Singapore,Rail,4.96,1.8,0
V106,4.93,US-Asia,New York,Air,5.02,2.03,0
V105,4.04,Africa-Europe,Dubai,Sea,0.23,1.12,0
V103,5.31,Asia-Europe,Dubai,Sea,3.55,6.4,1
V104,5.95,Europe-US,Berlin,Rail,7.4,9.9,1
V105,0.1,Africa-Europe,New York,Rail,5.1,8.79,1
V104,4.64,MiddleEast-Asia,Mumbai,Rail,2.44,0.46,0
V103,9.63,Africa-Europe,New York,Rail,3.35,4.23,1
V103,5.19,Africa-Europe,Mumbai,Road,8.63,8.59,1
V104,6.78,MiddleEast-Asia,New York,Road,5.26,1.35,1
V101,3.12,Africa-Europe,Shanghai,Road,5.28,8.48,1
V102,7.74,Europe-US,New York,Rail,9.61,5.93,1
V101,7.73,US-Asia,Singapore,Rail,3.21,9.31,1
V101,5.21,Africa-Europe,Singapore,Sea,4.8,8.76,1
V106,9.76,Europe-US,Berlin,Air,8.12,6.77,1
V101,1.26,US-Asia,Mumbai,Sea,7.59,6.58,1
V105,0.17,US-Asia,Dubai,Road,2.66,2.13,0
V106,7.7,Africa-Europe,Berlin,Sea,1.51,1.17,0
V106,8.07,Europe-US,Singapore,Rail,7.01,4.15,1
V103,1.2,Africa-Europe,Singapore,Road,2.58,1.87,0
V101,2.66,MiddleEast-Asia,Mumbai,Road,9.23,1.02,1
V103,0.18,US-Asia,Singapore,Air,1.29,3.02,0
V104,2.93,Africa-Europe,Singapore,Air,3.18,8.6,1
V102,7.73,US-Asia,Mumbai,Road,0.55,0.17,0
V106,5.18,Europe-US,Singapore,Road,7.03,2.93,1
V104,3.48,Asia-Europe,Dubai,Sea,8.91,4.24,1
V104,3.72,Africa-Europe,Shanghai,Road,6.36,5.11,1
V105,0.01,Africa-Europe,Berlin,Rail,9.38,1.82,0
V102,3,US-Asia,Dubai,Sea,1.29,9.64,1
V104,6.46,Europe-US,Dubai,Rail,0.88,5.79,1
V104,9.74,MiddleEast-Asia,Shanghai,Rail,8.38,5.22,1
V102,8.47,Europe-US,Berlin,Rail,8.56,0.09,1
V102,0.24,Africa-Europe,Dubai,Road,8.31,4.86,1
V104,8.99,MiddleEast-Asia,Singapore,Air,7.99,8.38,1
V102,7.83,Europe-US,Shanghai,Air,3.62,2.2,1
V104,7.8,Asia-Europe,Berlin,Rail,2.17,3.51,1
V104,4.58,US-Asia,New York,Road,9.29,0.21,1
V105,3.98,Europe-US,Mumbai,Sea,3.07,9.77,1
V101,3.03,Europe-US,Singapore,Rail,3.98,0.67,0
V104,0.66,Asia-Europe,Shanghai,Sea,7,8.98,1
V103,2.28,Africa-Europe,Mumbai,Sea,2.93,3.13,0
V106,2.47,US-Asia,New York,Road,8.19,5.88,1
V101,4.84,Europe-US,Dubai,Road,0.7,6.79,0
V101,7.47,MiddleEast-Asia,Dubai,Air,7.91,1.41,1
V101,4.74,Europe-US,Berlin,Air,6.02,4.44,1
V105,0.58,US-Asia,Shanghai,Road,5.73,3.25,0
V104,9.58,Europe-US,Shanghai,Rail,4.58,0.57,1
V105,9.43,Asia-Europe,Berlin,Air,2.77,8.33,1
V104,7.85,Europe-US,Mumbai,Sea,4.64,0.45,1
V105,9.91,Europe-US,Dubai,Rail,4.5,6.53,1
V105,5.44,MiddleEast-Asia,Dubai,Sea,5.84,3.14,1
V106,9.63,Asia-Europe,Shanghai,Road,2.82,1.92,1
V103,0.76,Asia-Europe,Shanghai,Sea,0.78,6.67,0
V105,3.66,Europe-US,Berlin,Rail,1.45,5.75,0
V106,2.25,MiddleEast-Asia,New York,Road,6.99,3.15,0
V102,1.96,Europe-US,Mumbai,Rail,0.22,5.13,0
V103,1.41,Europe-US,Singapore,Sea,8.56,2.46,0
V105,6.22,US-Asia,New York,Rail,6.94,8.64,1
V101,7.81,US-Asia,New York,Road,7.68,3.14,1
V102,5.78,MiddleEast-Asia,Shanghai,Sea,8.36,2.45,1
V102,1.47,Africa-Europe,Shanghai,Sea,1.23,7.52,0
V106,8.11,US-Asia,Shanghai,Air,8.22,0.18,1
V102,6.36,Africa-Europe,New York,Air,5.05,2.68,1
V103,3.88,Asia-Europe,Mumbai,Rail,8.86,3.75,1
V105,6.74,US-Asia,Shanghai,Air,8.87,8.82,1
V105,2.6,US-Asia,Dubai,Air,0.24,9.5,0
V101,3.45,MiddleEast-Asia,Mumbai,Air,3.83,7.16,1
V106,9.17,Africa-Europe,Dubai,Air,5.26,4.93,1
V101,2.91,US-Asia,Mumbai,Road,6.78,6.41,1
V102,4.7,US-Asia,Shanghai,Road,2.86,4.14,0
V101,8.9,MiddleEast-Asia,Singapore,Air,2.52,2.99,1
V103,7.08,MiddleEast-Asia,Berlin,Rail,3.81,9.51,1
V105,0.62,Africa-Europe,Shanghai,Road,5.01,1.15,0
V102,1.47,Asia-Europe,New York,Air,9.51,3.46,1
V101,0.08,Asia-Europe,Singapore,Road,7.62,8.99,1
V106,6.31,Europe-US,New York,Sea,4.29,7.23,1
V103,4.48,US-Asia,Mumbai,Road,0.54,0.29,0
V103,1.34,Africa-Europe,New York,Road,1.69,0.23,0
V101,9.58,US-Asia,Singapore,Rail,4.56,5.17,1
V105,5.3,Africa-Europe,Singapore,Road,8.14,4.84,1
V101,2.42,Africa-Europe,Shanghai,Rail,3.81,4.43,0
V102,5.01,Africa-Europe,Dubai,Sea,5.38,3.02,1
V101,6.8,US-Asia,Shanghai,Air,8.92,9.87,1
V103,0.76,MiddleEast-Asia,Mumbai,Rail,9.14,2.72,1
V101,2.75,US-Asia,New York,Road,2.16,4.9,0
V105,8.07,Africa-Europe,Dubai,Road,0.44,4.05,1
V106,4.6,Europe-US,Berlin,Rail,3.05,1.7,0
V104,5.47,Asia-Europe,Singapore,Sea,6.96,2.03,1
V101,4.33,Africa-Europe,Dubai,Air,9.51,9.18,1
V105,0.44,Europe-US,Dubai,Road,0.77,8.58,0
V105,1.66,MiddleEast-Asia,Shanghai,Sea,0.28,1.99,0
V106,4.46,Africa-Europe,Berlin,Air,8.84,8.76,1
V103,2.09,Europe-US,Singapore,Air,7.48,2.09,0
V105,0.5,Africa-Europe,Mumbai,Road,9.92,6.27,1
V105,8.44,US-Asia,Mumbai,Rail,3.97,0.81,1
V105,9.81,Europe-US,Dubai,Road,4.16,8.8,1
V105,7.93,US-Asia,Dubai,Road,1.72,0.52,0
V102,8.54,US-Asia,New York,Road,1.16,5.55,1
V102,2.42,Europe-US,Berlin,Sea,5.79,7.8,1
V103,9.61,Asia-Europe,Singapore,Rail,3.64,1.17,1
V101,1.97,Europe-US,Dubai,Sea,0.8,4.04,0
V105,9.51,Asia-Europe,New York,Road,8.87,0.42,1
V106,9.95,Africa-Europe,Berlin,Rail,1.98,6.83,1
V101,7.12,Africa-Europe,Singapore,Air,7.49,3.07,1
V106,9.81,Europe-US,Mumbai,Rail,2.82,5.59,1
V101,5.7,Africa-Europe,New York,Road,8.13,9.33,1
V103,2.6,MiddleEast-Asia,Berlin,Rail,1.18,3.06,0
V105,4.37,US-Asia,New York,Air,7.56,0.49,0
V105,5.94,US-Asia,Dubai,Air,0.98,6.76,1
V104,0.73,Asia-Europe,Shanghai,Rail,4.47,7.87,1
V106,6.22,Africa-Europe,Mumbai,Air,7.34,9.58,1
V101,9.81,Asia-Europe,Dubai,Sea,1.73,1.58,1
V101,1.9,US-Asia,Dubai,Rail,2.86,3.92,0
V102,7.93,US-Asia,Berlin,Air,8.65,8.44,1
V104,9.08,Africa-Europe,New York,Air,8.85,8.07,1
V102,9.44,MiddleEast-Asia,Mumbai,Rail,0.45,6.25,1
V102,9.6,MiddleEast-Asia,Dubai,Sea,1.68,2.69,1
V102,5.21,Africa-Europe,Berlin,Rail,1.17,2.84,0
V106,9.77,Africa-Europe,Mumbai,Air,1.8,1.24,1
V106,7.57,Asia-Europe,New York,Rail,9.7,9.22,1
V103,1.62,Africa-Europe,Dubai,Air,5.52,1.73,0
V103,4.77,MiddleEast-Asia,Singapore,Road,4.68,5.73,1
V102,7.18,Africa-Europe,Dubai,Rail,9.84,5.84,1
V104,2.47,Asia-Europe,Dubai,Rail,5.57,3.7,0
V101,6.41,Asia-Europe,Mumbai,Air,6.61,3.53,1
V106,6.67,Asia-Europe,Mumbai,Air,3.33,6.69,1
V104,1.63,Asia-Europe,Mumbai,Air,3.82,3.88,0
V105,5.65,Europe-US,Mumbai,Air,5.94,2.55,1
V106,7.72,Africa-Europe,Berlin,Rail,0.7,3.99,0
